kegg_class,n,pct_no_bacteria,pct_polyphyletic
informational,509,71.51277013752456,46.16895874263262
metabolic,1188,55.13468013468014,61.44781144781145
other,2870,57.21254355400697,58.95470383275261
unannotated,814,91.64619164619164,48.77149877149877
